coFlag,khaiValue,so2Value,coValue,pm10Value,no2Grade,o3Flag,so2Flag,dataTime,no2Value,pm10Grade,o3Value,so2Grade,o3Grade,coGrade
통신장애,-,-,-,25,1,통신장애,통신장애,2024-04-23 11:00,0.003,1,-,,,
통신장애,-,-,-,28,1,통신장애,통신장애,2024-04-23 10:00,0.003,1,-,,,
통신장애,-,-,-,20,1,통신장애,통신장애,2024-04-23 09:00,0.003,1,-,,,
통신장애,-,-,-,15,1,통신장애,통신장애,2024-04-23 08:00,0.003,1,-,,,
통신장애,-,-,-,10,1,통신장애,통신장애,2024-04-23 07:00,0.003,1,-,,,
통신장애,-,-,-,17,1,통신장애,통신장애,2024-04-23 06:00,0.003,1,-,,,
통신장애,-,-,-,17,1,통신장애,통신장애,2024-04-23 05:00,0.003,1,-,,,
통신장애,-,-,-,24,1,통신장애,통신장애,2024-04-23 04:00,0.003,1,-,,,
통신장애,-,-,-,30,1,통신장애,통신장애,2024-04-23 03:00,0.003,1,-,,,
통신장애,-,-,-,28,1,통신장애,통신장애,2024-04-23 02:00,0.003,1,-,,,
통신장애,-,-,-,24,1,통신장애,통신장애,2024-04-23 01:00,0.003,1,-,,,
통신장애,-,-,-,25,1,통신장애,통신장애,2024-04-22 24:00,0.003,1,-,,,
통신장애,-,-,-,26,1,통신장애,통신장애,2024-04-22 23:00,0.003,1,-,,,
통신장애,-,-,-,25,1,통신장애,통신장애,2024-04-22 22:00,0.003,1,-,,,
통신장애,-,-,-,24,1,통신장애,통신장애,2024-04-22 21:00,0.003,1,-,,,
통신장애,-,-,-,30,1,통신장애,통신장애,2024-04-22 20:00,0.003,1,-,,,
통신장애,-,-,-,27,1,통신장애,통신장애,2024-04-22 19:00,0.004,1,-,,,
통신장애,-,-,-,34,1,통신장애,통신장애,2024-04-22 18:00,0.004,1,-,,,
통신장애,-,-,-,27,1,통신장애,통신장애,2024-04-22 17:00,0.004,1,-,,,
통신장애,-,-,-,27,1,통신장애,통신장애,2024-04-22 16:00,0.004,2,-,,,
통신장애,-,-,-,30,1,통신장애,통신장애,2024-04-22 15:00,0.004,2,-,,,
,-,0.001,0.3,36,1,,,2024-04-22 14:00,0.004,2,0.059,1,2,1
