so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,-,0.001,0.3,13,2,1,2024-04-23 11:00,1,0.008,1,0.053,,,,,,
1,68,0.001,0.3,15,2,1,2024-04-23 10:00,1,0.008,1,0.052,2,,,,,
1,67,0.001,0.3,12,2,1,2024-04-23 09:00,1,0.008,1,0.050,2,,,,,
1,58,0.001,0.3,24,2,1,2024-04-23 08:00,1,0.016,1,0.040,2,,,,,
1,45,0.001,0.3,19,1,1,2024-04-23 07:00,1,0.024,1,0.027,1,,,,,
1,59,0.001,0.3,13,2,1,2024-04-23 06:00,1,0.011,1,0.041,2,,,,,
1,61,0.001,0.3,13,2,1,2024-04-23 05:00,1,0.008,1,0.043,2,,,,,
1,62,0.001,0.3,18,2,1,2024-04-23 04:00,1,0.006,1,0.044,2,,,,,
1,63,0.001,0.3,16,2,1,2024-04-23 03:00,1,0.005,1,0.045,2,,,,,
1,63,0.001,0.3,16,2,1,2024-04-23 02:00,1,0.005,1,0.045,2,,,,,
1,58,0.001,0.3,15,2,1,2024-04-23 01:00,1,0.007,1,0.040,2,,,,,
1,57,0.001,0.3,26,2,1,2024-04-22 24:00,1,0.009,1,0.038,2,,,,,
1,59,0.001,0.3,28,2,1,2024-04-22 23:00,1,0.012,1,0.037,2,,,,,
1,59,0.001,0.3,29,2,1,2024-04-22 22:00,1,0.011,1,0.037,2,,,,,
1,59,0.001,0.3,34,2,1,2024-04-22 21:00,1,0.015,1,0.036,2,,,,,
1,59,0.001,0.4,30,2,1,2024-04-22 20:00,1,0.020,1,0.038,2,,,,,
1,68,0.001,0.4,29,2,1,2024-04-22 19:00,1,0.016,1,0.051,2,,,,,
1,73,0.001,0.3,34,2,1,2024-04-22 18:00,1,0.012,1,0.058,2,,,,,
1,77,0.001,0.3,33,2,1,2024-04-22 17:00,1,0.009,1,0.062,2,,,,,
,-,-,-,-,,,2024-04-22 16:00,,-,1,-,,통신장애,통신장애,통신장애,통신장애,통신장애
1,78,0.001,0.3,27,2,1,2024-04-22 15:00,1,0.007,1,0.064,2,,,,,
1,78,0.001,0.3,24,2,1,2024-04-22 14:00,1,0.006,1,0.063,2,,,,,
