so2Grade,khaiValue,so2Value,coValue,pm10Flag,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,khaiGrade,pm10Grade
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 11:00,1,0.004,0.057,,
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 10:00,1,0.005,0.052,,
1,-,0.003,0.3,통신장애,-,2,1,2024-04-23 09:00,1,0.008,0.043,,
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 08:00,1,0.007,0.041,,
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 07:00,1,0.007,0.032,,
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 06:00,1,0.005,0.033,,
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 05:00,1,0.005,0.036,,
1,61,0.003,0.2,통신장애,-,2,1,2024-04-23 04:00,1,0.004,0.043,2,2
1,61,0.003,0.2,,31,2,1,2024-04-23 03:00,1,0.005,0.043,2,2
1,56,0.003,0.2,,31,2,1,2024-04-23 02:00,1,0.005,0.037,2,2
1,54,0.003,0.2,,31,2,1,2024-04-23 01:00,1,0.005,0.035,2,2
1,55,0.003,0.2,,31,2,1,2024-04-22 24:00,1,0.005,0.032,2,2
1,56,0.003,0.3,,31,1,1,2024-04-22 23:00,1,0.006,0.029,2,2
1,57,0.003,0.3,,35,1,1,2024-04-22 22:00,1,0.006,0.030,2,2
1,57,0.003,0.2,,41,2,1,2024-04-22 21:00,1,0.007,0.038,2,2
1,58,0.003,0.3,,42,2,1,2024-04-22 20:00,1,0.009,0.039,2,2
1,61,0.003,0.3,,38,2,1,2024-04-22 19:00,1,0.010,0.043,2,2
1,67,0.003,0.2,,32,2,1,2024-04-22 18:00,1,0.005,0.050,2,2
1,69,0.003,0.3,,39,2,1,2024-04-22 17:00,1,0.005,0.053,2,2
1,74,0.003,0.2,,34,2,1,2024-04-22 16:00,1,0.005,0.059,2,2
1,76,0.003,0.2,,32,2,1,2024-04-22 15:00,1,0.004,0.061,2,2
1,73,0.003,0.2,,31,2,1,2024-04-22 14:00,1,0.004,0.057,2,2
1,71,0.003,0.3,,33,2,1,2024-04-22 13:00,1,0.004,0.055,2,2
