so2Grade,khaiValue,so2Value,coValue,pm10Flag,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.001,0.4,통신장애,-,2,2,1,2024-04-23 12:00,1,0.004,1,0.061
1,76,0.001,0.4,,17,2,2,1,2024-04-23 11:00,1,0.004,1,0.061
1,75,0.001,0.3,,22,2,2,1,2024-04-23 10:00,1,0.004,1,0.060
1,73,0.001,0.3,,20,2,2,1,2024-04-23 09:00,1,0.004,1,0.057
1,51,0.001,0.3,,29,2,2,1,2024-04-23 08:00,1,0.005,1,0.031
1,35,0.001,0.3,,23,1,1,1,2024-04-23 07:00,1,0.005,1,0.011
1,33,0.001,0.3,,17,1,1,1,2024-04-23 06:00,1,0.005,1,0.010
1,35,0.001,0.3,,19,1,1,1,2024-04-23 05:00,1,0.005,1,0.013
1,37,0.001,0.3,,19,1,1,1,2024-04-23 04:00,1,0.004,1,0.017
1,38,0.001,0.3,,20,1,1,1,2024-04-23 03:00,1,0.004,1,0.019
1,38,0.001,0.3,,18,1,1,1,2024-04-23 02:00,1,0.005,1,0.023
1,42,0.001,0.3,,23,1,1,1,2024-04-23 01:00,1,0.005,1,0.025
1,52,0.001,0.3,,25,2,2,1,2024-04-22 24:00,1,0.005,1,0.032
1,57,0.001,0.4,,19,2,2,1,2024-04-22 23:00,1,0.005,1,0.038
1,62,0.001,0.4,,24,2,2,1,2024-04-22 22:00,1,0.005,1,0.044
1,71,0.001,0.4,,25,2,2,1,2024-04-22 21:00,1,0.004,1,0.055
1,69,0.001,0.4,,28,2,2,1,2024-04-22 20:00,1,0.004,1,0.053
1,69,0.001,0.4,,29,2,2,1,2024-04-22 19:00,1,0.004,1,0.053
1,71,0.001,0.4,,31,2,2,1,2024-04-22 18:00,1,0.004,1,0.055
1,75,0.001,0.4,,28,2,2,1,2024-04-22 17:00,1,0.004,1,0.060
1,75,0.001,0.4,,29,2,2,1,2024-04-22 16:00,1,0.004,1,0.060
1,76,0.001,0.4,,29,2,2,1,2024-04-22 15:00,1,0.004,2,0.061
1,75,0.001,0.4,,30,2,2,1,2024-04-22 14:00,1,0.004,2,0.060
