coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,pm10Grade,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 10:00,-,-,1,,,,,
,69,0.003,0.1,,26,,,,2024-04-23 09:00,0.007,0.053,2,1,2,2,1,1
,65,0.003,0.1,,29,,,,2024-04-23 08:00,0.008,0.048,2,1,2,2,1,1
,59,0.003,0.1,,25,,,,2024-04-23 07:00,0.013,0.039,2,1,2,2,1,1
,61,0.003,0.1,,26,,,,2024-04-23 06:00,0.010,0.040,2,1,2,2,1,1
,64,0.003,0.1,,22,,,,2024-04-23 05:00,0.008,0.040,2,1,2,2,1,1
,69,0.003,0.1,,27,,,,2024-04-23 04:00,0.009,0.036,2,1,2,2,1,1
,72,0.003,0.1,,26,,,,2024-04-23 03:00,0.008,0.039,2,1,2,2,1,1
,74,0.003,0.1,,37,,,,2024-04-23 02:00,0.012,0.032,2,1,2,2,1,1
,77,0.003,0.1,,41,,,,2024-04-23 01:00,0.017,0.035,2,1,2,2,1,1
,77,0.004,0.1,,44,,,,2024-04-22 24:00,0.013,0.045,2,1,2,2,1,1
,74,0.004,0.2,,60,,,,2024-04-22 23:00,0.016,0.054,2,1,2,2,1,1
,76,0.003,0.2,,62,,,,2024-04-22 22:00,0.016,0.061,2,1,2,2,1,1
,78,0.004,0.2,,60,,,,2024-04-22 21:00,0.020,0.064,2,1,2,2,1,1
,73,0.003,0.1,,40,,,,2024-04-22 20:00,0.011,0.057,2,1,2,2,1,1
,74,0.003,0.1,,39,,,,2024-04-22 19:00,0.011,0.059,2,1,2,2,1,1
,83,0.003,0.1,,36,,,,2024-04-22 18:00,0.006,0.070,2,1,2,2,1,1
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-22 17:00,-,-,2,,,,,
,91,0.003,0.1,,35,,,,2024-04-22 16:00,0.006,0.079,2,1,2,2,1,1
,89,0.003,0.1,,42,,,,2024-04-22 15:00,0.008,0.077,2,1,2,2,1,1
,87,0.003,0.1,,39,,,,2024-04-22 14:00,0.006,0.074,2,1,2,2,1,1
