so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,pm10Flag
1,73,0.003,0.3,31,2,2,1,2024-04-23 11:00,1,0.006,1,0.057,
1,71,0.003,0.3,29,2,2,1,2024-04-23 10:00,1,0.006,1,0.055,
1,69,0.003,0.3,20,2,2,1,2024-04-23 09:00,1,0.007,1,0.053,
1,61,0.003,0.3,19,2,2,1,2024-04-23 08:00,1,0.008,1,0.043,
1,58,0.003,0.3,20,2,2,1,2024-04-23 07:00,1,0.008,1,0.040,
1,55,0.003,0.3,17,2,2,1,2024-04-23 06:00,1,0.012,1,0.036,
1,59,0.003,0.3,19,2,2,1,2024-04-23 05:00,1,0.006,1,0.041,
1,60,0.004,0.3,26,2,2,1,2024-04-23 04:00,1,0.010,2,0.042,
1,68,0.004,0.3,29,2,2,1,2024-04-23 03:00,1,0.006,2,0.051,
1,70,0.003,0.3,29,2,2,1,2024-04-23 02:00,1,0.004,2,0.054,
1,63,0.004,0.3,34,2,2,1,2024-04-23 01:00,1,0.005,2,0.046,
1,63,0.004,0.3,30,2,2,1,2024-04-22 24:00,1,0.005,2,0.045,
1,58,0.004,0.3,28,2,2,1,2024-04-22 23:00,1,0.005,2,0.039,
1,63,0.003,0.3,34,2,2,1,2024-04-22 22:00,1,0.005,2,0.046,
1,63,0.004,0.3,40,2,2,1,2024-04-22 21:00,1,0.006,2,0.046,
1,63,0.004,0.3,35,2,2,1,2024-04-22 20:00,1,0.008,2,0.046,
1,63,0.003,0.3,33,2,2,1,2024-04-22 19:00,1,0.009,2,0.046,
1,64,0.003,0.3,32,2,2,1,2024-04-22 18:00,1,0.008,2,0.047,
1,68,0.003,0.3,39,2,2,1,2024-04-22 17:00,1,0.007,2,0.051,
1,74,0.003,0.3,41,2,2,1,2024-04-22 16:00,1,0.003,2,0.059,
1,-,0.003,0.3,27,2,,1,2024-04-22 15:00,1,0.005,,0.056,
1,-,0.003,0.3,32,2,,1,2024-04-22 14:00,1,0.004,,0.057,
1,-,0.003,0.3,-,2,,1,2024-04-22 13:00,1,0.004,,0.054,통신장애
