so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag
1,76,0.001,0.4,30,2,2,1,2024-04-23 12:00,1,0.003,1,0.061,
1,75,0.001,0.4,33,2,2,1,2024-04-23 11:00,1,0.004,1,0.060,
1,67,0.001,0.4,22,2,2,1,2024-04-23 10:00,1,0.007,1,0.050,
1,62,0.001,0.4,19,2,2,1,2024-04-23 09:00,1,0.008,1,0.044,
1,50,0.001,0.4,22,1,1,1,2024-04-23 08:00,1,0.013,1,0.022,
1,50,0.001,0.4,16,1,1,1,2024-04-23 07:00,1,0.016,1,0.009,
1,50,0.001,0.4,21,1,1,1,2024-04-23 06:00,1,0.008,1,0.017,
1,47,0.001,0.3,23,1,1,1,2024-04-23 05:00,1,0.007,1,0.021,
1,47,0.001,0.3,24,1,1,1,2024-04-23 04:00,1,0.006,1,0.027,
1,53,0.001,0.3,22,2,2,1,2024-04-23 03:00,1,0.005,1,0.033,
1,57,0.001,0.3,22,2,2,1,2024-04-23 02:00,1,0.005,1,0.038,
1,59,0.002,0.3,27,2,2,1,2024-04-23 01:00,1,0.006,1,0.041,
1,63,0.002,0.3,23,2,2,1,2024-04-22 24:00,1,0.007,2,0.045,
1,65,0.002,0.3,29,2,2,1,2024-04-22 23:00,1,0.006,2,0.048,
1,67,0.002,0.3,28,2,2,1,2024-04-22 22:00,1,0.006,2,0.050,
1,58,0.002,0.3,39,2,2,1,2024-04-22 21:00,1,0.008,2,0.040,
1,59,0.002,-,35,2,2,1,2024-04-22 20:00,,0.007,2,0.041,통신장애
1,62,0.002,-,37,2,2,1,2024-04-22 19:00,,0.006,2,0.044,통신장애
1,67,0.002,-,34,2,2,1,2024-04-22 18:00,,0.005,2,0.050,통신장애
1,67,0.002,-,26,2,2,1,2024-04-22 17:00,,0.004,2,0.050,통신장애
1,64,0.002,0.3,47,2,2,1,2024-04-22 16:00,1,0.005,2,0.047,
1,63,0.002,0.3,35,2,2,1,2024-04-22 15:00,1,0.005,2,0.046,
1,65,0.002,0.3,36,2,2,1,2024-04-22 14:00,1,0.004,2,0.048,
