coFlag,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,so2Flag,dataTime,no2Value,pm10Grade,o3Value
통신장애,68,-,-,40,2,2,1,통신장애,2024-04-23 12:00,0.006,1,0.052
통신장애,67,-,-,38,2,2,1,통신장애,2024-04-23 11:00,0.006,1,0.050
통신장애,66,-,-,26,2,2,1,통신장애,2024-04-23 10:00,0.007,1,0.049
통신장애,68,-,-,25,2,2,1,통신장애,2024-04-23 09:00,0.007,1,0.052
통신장애,69,-,-,26,2,2,1,통신장애,2024-04-23 08:00,0.010,1,0.053
통신장애,71,-,-,23,2,2,1,통신장애,2024-04-23 07:00,0.007,1,0.055
통신장애,73,-,-,26,2,2,1,통신장애,2024-04-23 06:00,0.005,1,0.057
통신장애,74,-,-,21,2,2,1,통신장애,2024-04-23 05:00,0.003,1,0.059
통신장애,73,-,-,23,2,2,1,통신장애,2024-04-23 04:00,0.003,1,0.058
통신장애,74,-,-,28,2,2,1,통신장애,2024-04-23 03:00,0.003,1,0.059
통신장애,73,-,-,30,2,2,1,통신장애,2024-04-23 02:00,0.004,1,0.058
통신장애,70,-,-,31,2,2,1,통신장애,2024-04-23 01:00,0.004,1,0.054
통신장애,67,-,-,26,2,2,1,통신장애,2024-04-22 24:00,0.006,1,0.050
통신장애,67,-,-,28,2,2,1,통신장애,2024-04-22 23:00,0.006,1,0.050
통신장애,66,-,-,31,2,2,1,통신장애,2024-04-22 22:00,0.007,1,0.049
통신장애,64,-,-,29,2,2,1,통신장애,2024-04-22 21:00,0.007,1,0.047
통신장애,59,-,-,27,2,2,1,통신장애,2024-04-22 20:00,0.010,1,0.041
통신장애,59,-,-,28,2,2,1,통신장애,2024-04-22 19:00,0.010,1,0.041
통신장애,58,-,-,30,2,2,1,통신장애,2024-04-22 18:00,0.012,1,0.039
통신장애,61,-,-,29,2,2,1,통신장애,2024-04-22 17:00,0.009,1,0.043
통신장애,61,-,-,38,2,2,1,통신장애,2024-04-22 16:00,0.008,1,0.043
통신장애,55,-,-,25,2,2,1,통신장애,2024-04-22 15:00,0.010,1,0.036
통신장애,56,-,-,25,2,2,1,통신장애,2024-04-22 14:00,0.009,1,0.037
