khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,so2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value,so2Grade
53,-,0.5,34,2,2,1,통신장애,2024-04-23 12:00,1,0.019,2,0.034,
55,-,0.5,32,2,2,1,통신장애,2024-04-23 11:00,1,0.018,2,0.036,
52,-,0.5,35,2,2,1,통신장애,2024-04-23 10:00,1,0.024,2,0.031,
51,-,0.5,36,2,2,1,통신장애,2024-04-23 09:00,1,0.023,2,0.031,
52,-,0.6,35,2,2,1,통신장애,2024-04-23 08:00,1,0.026,1,0.032,
101,0.051,0.6,26,2,3,1,,2024-04-23 07:00,1,0.024,1,0.035,3
78,0.037,0.6,28,2,2,1,,2024-04-23 06:00,1,0.022,1,0.039,2
57,-,0.6,25,2,2,1,통신장애,2024-04-23 05:00,1,0.024,1,0.038,
57,-,0.6,26,2,2,1,통신장애,2024-04-23 04:00,1,0.025,1,0.038,
57,-,0.5,32,2,2,1,통신장애,2024-04-23 03:00,1,0.025,2,0.038,
57,-,0.6,24,2,2,1,통신장애,2024-04-23 02:00,1,0.026,2,0.038,
56,-,0.6,29,2,2,1,통신장애,2024-04-23 01:00,1,0.026,2,0.037,
81,0.039,0.6,33,2,2,1,,2024-04-22 24:00,1,0.019,2,0.043,2
93,0.046,0.6,35,2,2,1,,2024-04-22 23:00,1,0.021,2,0.040,2
71,0.033,0.5,33,2,2,1,,2024-04-22 22:00,1,0.020,2,0.041,2
55,0.019,0.6,29,2,2,1,,2024-04-22 21:00,1,0.024,2,0.036,1
57,0.024,0.5,32,2,2,1,,2024-04-22 20:00,1,0.022,2,0.038,2
54,0.020,0.6,30,2,2,1,,2024-04-22 19:00,1,0.024,2,0.035,1
55,0.021,0.6,32,2,2,1,,2024-04-22 18:00,1,0.022,2,0.033,2
66,0.030,0.5,42,2,2,1,,2024-04-22 17:00,1,0.022,2,0.033,2
63,0.028,0.5,40,2,2,1,,2024-04-22 16:00,1,0.022,2,0.032,2
53,0.013,0.5,42,1,2,1,,2024-04-22 15:00,1,0.026,2,0.030,1
50,0.016,0.5,33,1,1,1,,2024-04-22 14:00,1,0.030,1,0.026,1
